source,destination,latitude1,longitude1,latitude2,longitude2,point1,point2,distance_km
new york,manhattan,40.7127281,-74.0060152,40.7896239,-73.9598939,"40 42m 45.8212s N, 74 0m 21.6547s W","40 47m 22.646s N, 73 57m 35.618s W",9.385572092655696
indore,bhopal,22.7203616,75.8681996,23.2584857,77.401989,"22 43m 13.3018s N, 75 52m 5.51856s E","23 15m 30.5485s N, 77 24m 7.1604s E",168.17167544540774
delhi,indore,28.6517178,77.2219388,22.7203616,75.8681996,"28 39m 6.18408s N, 77 13m 18.9797s E","22 43m 13.3018s N, 75 52m 5.51856s E",670.9818643783155
kerala,tamil nadu,10.3528744,76.5120396,10.9094334,78.3665347,"10 21m 10.3478s N, 76 30m 43.3426s E","10 54m 33.9602s N, 78 21m 59.5249s E",212.05274812134752
india,sri lanka,22.3511148,78.6677428,7.5554942,80.7137847,"22 21m 4.01328s N, 78 40m 3.87408s E","7 33m 19.7791s N, 80 42m 49.6249s E",1651.8184596945594
delhi,punjab,28.6517178,77.2219388,30.9293211,75.5004841,"28 39m 6.18408s N, 77 13m 18.9797s E","30 55m 45.556s N, 75 30m 1.74276s E",302.38574604305006
india,china,22.3511148,78.6677428,35.000074,104.999927,"22 21m 4.01328s N, 78 40m 3.87408s E","35 0m 0.2664s N, 104 59m 59.7372s E",2917.357463304341
indore,bhopal,22.7203616,75.8681996,23.2584857,77.401989,"22 43m 13.3018s N, 75 52m 5.51856s E","23 15m 30.5485s N, 77 24m 7.1604s E",168.17167544540774
indore,gopal,22.7203616,75.8681996,41.1007381,42.8639858,"22 43m 13.3018s N, 75 52m 5.51856s E","41 6m 2.65716s N, 42 51m 50.3489s E",3693.1865065589245
indore,bhopal,22.7203616,75.8681996,23.2584857,77.401989,"22 43m 13.3018s N, 75 52m 5.51856s E","23 15m 30.5485s N, 77 24m 7.1604s E",168.17167544540774
